z,mB,environment,rho_ratio
0.016023284777000237,15.752914343138045,cluster,5.0
0.016571319377086856,14.522858013086939,void,0.3
0.018273035332116938,15.077082587445645,void,0.3
0.02094449142378928,15.261357834307539,void,0.3
0.02839337366935224,16.309405794033534,mean,1.0
0.02973951642414882,17.037737547989195,cluster,5.0
0.03449554821200491,16.586339482073218,mean,1.0
0.038936000053430064,16.83352817486472,void,0.3
0.040248760825473275,17.12232834332679,mean,1.0
0.04629529742746882,17.125345049930218,void,0.3
0.04740073096721376,17.151390190759415,void,0.3
0.05092234012710989,17.10653598712674,void,0.3
0.05277130581812308,17.494737004004257,void,0.3
0.05389546735189402,18.485402390125525,cluster,5.0
0.05444434461156516,17.516245077580905,mean,1.0
0.05852241845016906,17.858824175769833,void,0.3
0.06382047380354029,18.76929307838239,cluster,5.0
0.06527599113679729,17.855042884886174,void,0.3
0.07125971398748733,18.1549436100841,void,0.3
0.07911949848015735,18.768546334955968,mean,1.0
0.08563443684036812,19.405760289976506,cluster,5.0
0.08741139565248261,18.396463933036667,void,0.3
0.09811313556356752,18.51149364186824,void,0.3
0.09871526597892727,18.675533839191075,void,0.3
0.10160609269626365,18.793107151749016,void,0.3
0.1101265583441081,19.245517512093638,mean,1.0
0.11156348334258391,19.218113981142537,void,0.3
0.11530607744178419,19.17788977321017,void,0.3
0.11744482636474587,20.249210785126188,cluster,5.0
0.12079229368902006,19.41545022240208,mean,1.0
0.12147297371543003,20.087104976829096,cluster,5.0
0.1218385084106341,19.414098775076404,void,0.3
0.12564002758721454,19.60434254186884,mean,1.0
0.1262298156675968,19.77744736850409,mean,1.0
0.1307511360105782,20.33522473487378,cluster,5.0
0.1383907981220323,19.80997883351251,mean,1.0
0.14096179018793534,19.93089663018114,mean,1.0
0.145033490276301,19.634358718377708,mean,1.0
0.14788418083490437,19.543617257925348,void,0.3
0.15231715266657903,20.399622995590246,cluster,5.0
0.15263978712708254,19.934844912344154,mean,1.0
0.1552254994652868,20.272125023557443,mean,1.0
0.1612020100557429,20.808818018363702,cluster,5.0
0.17364992353373196,20.24727312516116,mean,1.0
0.17599769417592978,20.30613760027302,mean,1.0
0.1766999781314636,20.169396850434495,void,0.3
0.17769982771996756,20.874581997235893,cluster,5.0
0.18242489778855547,20.3135435815067,mean,1.0
0.19563347920008115,21.167706718460725,cluster,5.0
0.19566218212649947,20.515407326698092,mean,1.0
0.2013615811868234,20.58639916881893,mean,1.0
0.20185333183226525,21.358775905407086,cluster,5.0
0.2023381697725904,20.483257061954916,void,0.3
0.21169636855645005,21.21833144456064,cluster,5.0
0.21292370718787693,20.59006562509228,mean,1.0
0.21749605051593981,21.75765889195369,cluster,5.0
0.22076170849438825,20.78701725547142,void,0.3
0.22637171097644973,21.607195695670256,cluster,5.0
