# SPARC Rotation Curves from VizieR (J/AJ/152/157)
# Reference: Lelli, McGaugh & Schombert (2016), AJ, 152, 157
# Format: Galaxy  D(Mpc)  R(kpc)  Vobs  e_Vobs  Vgas  Vdisk  Vbul
#
NGC2366                 3.3     4.16    53.70   2.39    25.27    16.63     0.00
NGC2366                 3.3     4.40    51.20   2.21    25.47    16.10     0.00
NGC2366                 3.3     4.64    51.60   1.45    25.68    15.61     0.00
NGC2366                 3.3     4.87    51.50   1.84    26.18    15.18     0.00
NGC2366                 3.3     5.11    50.40   2.53    26.59    14.76     0.00
NGC2366                 3.3     5.35    48.50   4.60    26.69    14.37     0.00
NGC2366                 3.3     5.59    50.00   5.91    26.59    14.01     0.00
NGC2366                 3.3     5.82    49.00   7.42    26.28    13.70     0.00
NGC2366                 3.3     6.06    49.40   5.92    26.18    13.37     0.00
NGC2403                 3.2     0.16    24.50   2.83     0.00    23.21     0.00
NGC2403                 3.2     0.26    35.30   2.46     0.00    35.33     0.00
NGC2403                 3.2     0.36    43.20   1.12     1.92    46.97     0.00
NGC2403                 3.2     0.46    52.00   1.25     2.29    56.68     0.00
NGC2403                 3.2     0.56    60.90   2.93     2.64    63.77     0.00
NGC2403                 3.2     0.66    65.80   1.25     3.00    67.56     0.00
NGC2403                 3.2     0.76    71.70   1.25     3.34    70.83     0.00
NGC2403                 3.2     0.86    74.60   1.60     3.68    72.80     0.00
NGC2403                 3.2     0.96    74.60   1.03     4.02    74.87     0.00
NGC2403                 3.2     1.06    76.60   1.12     4.37    77.12     0.00
NGC2403                 3.2     1.16    78.50   1.60     4.75    79.47     0.00
NGC2403                 3.2     1.27    83.40   1.80     5.15    82.18     0.00
NGC2403                 3.2     1.36    86.40   1.60     5.51    85.19     0.00
NGC2403                 3.2     1.47    87.40   1.41     5.76    87.94     0.00
NGC2403                 3.2     1.57    90.30   1.41     5.98    90.77     0.00
NGC2403                 3.2     1.67    93.30   1.60     6.21    93.98     0.00
NGC2403                 3.2     1.77    93.30   1.41     6.42    96.86     0.00
NGC2403                 3.2     1.87    95.20   1.25     6.61    99.21     0.00
NGC2403                 3.2     1.97    97.20   1.60     6.81   101.42     0.00
NGC2403                 3.2     2.08    99.10   2.02     7.01   103.79     0.00
NGC2403                 3.2     2.18    98.20   2.02     7.27   106.07     0.00
NGC2403                 3.2     2.28    98.20   1.60     7.54   106.73     0.00
NGC2403                 3.2     2.37    98.20   1.00     7.81   106.19     0.00
NGC2403                 3.2     2.47    97.20   1.12     8.25   105.57     0.00
NGC2403                 3.2     2.57    98.20   1.41     8.77   105.08     0.00
NGC2403                 3.2     2.68    98.20   1.12     9.31   104.39     0.00
NGC2403                 3.2     2.78    98.20   1.60     9.95   103.80     0.00
NGC2403                 3.2     2.88    99.10   2.69    10.97   103.16     0.00
NGC2403                 3.2     2.98   100.00   2.69    11.96   102.68     0.00
NGC2403                 3.2     3.08   102.00   3.16    13.06   102.46     0.00
NGC2403                 3.2     3.19   101.00   3.40    14.06   102.29     0.00
NGC2403                 3.2     3.29   101.00   3.40    15.05   102.51     0.00
NGC2403                 3.2     3.39   103.00   2.93    16.15   102.82     0.00
NGC2403                 3.2     3.49   107.00   2.46    17.15   103.06     0.00
NGC2403                 3.2     3.59   110.00   2.46    18.14   102.95     0.00
NGC2403                 3.2     3.69   112.00   3.40    19.24   103.12     0.00
NGC2403                 3.2     3.79   114.00   5.10    20.24   102.93     0.00
NGC2403                 3.2     3.90   118.00   5.10    21.03   102.50     0.00
NGC2403                 3.2     3.99   118.00   4.85    21.83   101.99     0.00
NGC2403                 3.2     4.47   118.00   5.36    25.72    99.49     0.00
NGC2403                 3.2     4.97   121.00   2.57    27.81    97.06     0.00
NGC2403                 3.2     5.47   124.00   1.00    29.41    94.40     0.00
NGC2403                 3.2     5.96   125.00   1.00    30.70    91.13     0.00
NGC2403                 3.2     6.46   126.00   1.00    31.70    87.90     0.00
NGC2403                 3.2     6.96   126.00   1.00    33.29    84.95     0.00
NGC2403                 3.2     7.45   126.00   1.00    34.99    81.98     0.00
NGC2403                 3.2     7.95   126.00   1.00    36.58    79.11     0.00
NGC2403                 3.2     8.45   127.00   1.45    38.38    76.42     0.00
NGC2403                 3.2     8.94   128.00   1.12    39.97    74.09     0.00
NGC2403                 3.2     9.44   128.00   1.68    41.47    71.75     0.00
NGC2403                 3.2     9.94   127.00   2.56    42.57    69.58     0.00
NGC2403                 3.2    10.43   127.00   1.24    43.96    67.61     0.00
NGC2403                 3.2    10.93   128.00   1.00    45.06    65.75     0.00
NGC2403                 3.2    11.43   130.00   1.13    45.76    64.12     0.00
NGC2403                 3.2    11.92   130.00   2.23    46.15    62.55     0.00
NGC2403                 3.2    12.42   132.00   2.68    46.65    61.06     0.00
NGC2403                 3.2    12.92   133.00   2.68    46.95    59.67     0.00
NGC2403                 3.2    13.42   133.00   3.37    46.75    58.37     0.00
NGC2403                 3.2    13.91   133.00   3.81    46.25    57.26     0.00
NGC2403                 3.2    14.41   133.00   2.56    45.95    56.12     0.00
NGC2403                 3.2    14.91   134.00   1.00    45.66    55.05     0.00
NGC2403                 3.2    15.40   134.00   1.00    45.26    54.06     0.00
NGC2403                 3.2    15.90   133.00   1.00    44.76    53.11     0.00
NGC2403                 3.2    16.40   134.00   2.35    44.16    52.26     0.00
NGC2403                 3.2    16.89   134.00   4.13    43.36    51.43     0.00
NGC2403                 3.2    17.39   136.00   3.91    42.67    50.61     0.00
NGC2403                 3.2    17.89   136.00   6.38    41.87    49.84     0.00
NGC2403                 3.2    18.38   135.00   8.39    41.07    49.16     0.00
NGC2403                 3.2    18.88   133.00   7.83    40.27    48.46     0.00
NGC2403                 3.2    19.38   134.00   6.26    39.87    47.78     0.00
NGC2403                 3.2    19.87   136.00   5.60    39.87    47.15     0.00
NGC2403                 3.2    20.37   135.00   5.24    39.87    46.52     0.00
NGC2403                 3.2    20.87   134.00   3.12    39.87    45.97     0.00
NGC2683                 9.8     2.89   189.00  10.00     7.68   203.92     0.00
NGC2683                 9.8     5.77   212.00   5.00    21.36   229.24     0.00
NGC2683                 9.8     8.66   206.00   5.00    17.89   197.87     0.00
NGC2683                 9.8    11.54   200.00   5.00    24.41   185.00     0.00
NGC2683                 9.8    14.43   172.00  12.00    25.80   159.52     0.00
NGC2683                 9.8    17.31   190.00  10.00    25.80   143.29     0.00
NGC2683                 9.8    20.20   169.00  10.00    23.72   130.86     0.00
NGC2683                 9.8    23.08   150.00  10.00    20.53   121.26     0.00
NGC2683                 9.8    28.85   160.00  10.00    17.48   107.36     0.00
NGC2683                 9.8    31.74   155.00  10.00    16.50   102.03     0.00
NGC2683                 9.8    34.62   151.00  12.00    15.67    97.49     0.00
NGC2841                14.1     3.44   285.00  14.40    -0.57   163.40     0.00
NGC2841                14.1     3.77   297.00  13.60    -0.57   171.13     0.00
NGC2841                14.1     4.13   303.00   8.47    -0.43   180.88     0.00
NGC2841                14.1     4.47   306.00   5.93    -0.10   188.37     0.00
NGC2841                14.1     4.80   307.00   5.93    -0.19   194.64     0.00
NGC2841                14.1     5.13   304.00   8.47    -0.28   200.57     0.00
NGC2841                14.1     5.48   308.00   8.47    -0.38   206.64     0.00
NGC2841                14.1     5.83   313.00  12.70    -0.48   211.29     0.00
NGC2841                14.1     6.16   314.00   9.32    -0.53   215.14     0.00
NGC2841                14.1     6.51   315.00   6.78     3.83   221.84     0.00
NGC2841                14.1     6.86   317.00   8.47     8.02   227.72     0.00
NGC2841                14.1     7.18   320.00   7.63    12.15   231.73     0.00
NGC2841                14.1     7.51   316.00  20.50    16.24   235.48     0.00
NGC2841                14.1     7.85   318.00  23.40    20.27   239.96     0.00
NGC2841                14.1     8.21   321.00   8.48    24.66   243.42     0.00
NGC2841                14.1     8.57   323.00   8.66    27.10   245.15     0.00
NGC2841                14.1     8.90   321.00  12.70    29.42   245.80     0.00
NGC2841                14.1     9.24   323.00  11.00    31.74   245.24     0.00
NGC2841                14.1     9.60   323.00  10.40    34.31   244.14     0.00
NGC2841                14.1     9.93   322.00  13.60    36.63   243.64     0.00
NGC2841                14.1    10.27   321.00  13.60    38.95   243.60     0.00
NGC2841                14.1    10.60   323.00   9.32    41.02   243.38     0.00
NGC2841                14.1    10.93   322.00  11.90    43.22   243.08     0.00
NGC2841                14.1    11.27   321.00  11.00    45.42   242.44     0.00
NGC2841                14.1    12.31   323.00   4.24    52.25   237.30     0.00
NGC2841                14.1    14.35   319.00   4.24    56.77   222.06     0.00
NGC2841                14.1    16.40   308.00   4.24    51.89   207.98     0.00
NGC2841                14.1    18.48   299.00   5.66    48.35   196.87     0.00
NGC2841                14.1    20.57   299.00   5.66    54.45   185.72     0.00
NGC2841                14.1    22.51   298.00   5.66    63.61   176.98     0.00
NGC2841                14.1    24.59   296.00   5.66    66.17   168.93     0.00
NGC2841                14.1    26.68   293.00   4.24    61.90   161.21     0.00
NGC2841                14.1    28.77   289.00   4.24    58.85   153.59     0.00
NGC2841                14.1    30.70   289.00   4.24    57.01   147.56     0.00
NGC2841                14.1    32.79   288.00   4.24    57.38   141.95     0.00
NGC2841                14.1    34.88   285.00   4.24    60.43   136.82     0.00
NGC2841                14.1    36.96   283.00   2.83    64.09   132.38     0.00
NGC2841                14.1    38.90   275.00   2.83    66.90   128.66     0.00
NGC2841                14.1    40.99   272.00   2.83    68.61   124.87     0.00
NGC2841                14.1    43.08   271.00   2.83    68.98   121.52     0.00
NGC2841                14.1    45.16   274.00   4.24    67.76   118.47     0.00
NGC2841                14.1    47.10   277.00   4.24    65.19   115.75     0.00
NGC2841                14.1    49.19   281.00   4.24    62.26   113.11     0.00
NGC2841                14.1    51.27   286.00   4.24    60.55   110.59     0.00
NGC2841                14.1    53.36   282.00   4.24    60.55   108.30     0.00
NGC2841                14.1    55.30   283.00   4.24    62.39   106.31     0.00
NGC2841                14.1    57.38   288.00   5.66    64.95   104.23     0.00
NGC2841                14.1    59.47   287.00   5.66    67.27   102.32     0.00
NGC2841                14.1    61.56   289.00   7.07    68.49   100.51     0.00
NGC2841                14.1    63.64   294.00   7.07    68.73    98.76     0.00
NGC2903                 6.6     0.32    44.00   8.00     0.01   197.82     0.00
NGC2903                 6.6     0.64    64.00   8.00     0.03   204.19     0.00
NGC2903                 6.6     0.96   128.00   8.00     0.08   209.11     0.00
NGC2903                 6.6     1.28   148.00   8.00     0.07   219.11     0.00
NGC2903                 6.6     1.60   157.00   8.00     1.76   225.96     0.00
NGC2903                 6.6     1.92   189.00   8.00     5.17   232.02     0.00
NGC2903                 6.6     2.24   195.00   6.00     8.23   251.26     0.00
NGC2903                 6.6     2.56   201.00   6.00    11.05   278.70     0.00
NGC2903                 6.6     2.88   214.00   4.00    13.64   291.79     0.00
NGC2903                 6.6     3.20   215.00   4.00    16.01   300.53     0.00
NGC2903                 6.6     3.52   215.00   4.00    18.18   298.29     0.00
NGC2903                 6.6     3.84   216.00   3.00    20.14   289.57     0.00
NGC2903                 6.6     4.80   214.00   2.00    24.78   274.65     0.00
NGC2903                 6.6     5.76   210.00   2.00    25.77   255.87     0.00
NGC2903                 6.6     6.72   205.00   2.00    24.89   236.77     0.00
NGC2903                 6.6     7.68   203.00   1.00    25.19   221.37     0.00
NGC2903                 6.6     8.64   201.00   1.00    25.40   209.59     0.00
NGC2903                 6.6     9.60   201.00   1.00    27.64   199.24     0.00
NGC2903                 6.6    10.56   199.00   1.00    32.70   189.80     0.00
NGC2903                 6.6    11.52   197.00   1.00    37.22   181.59     0.00
NGC2903                 6.6    12.48   196.00   2.00    37.86   174.10     0.00
NGC2903                 6.6    13.44   193.00   3.00    36.33   167.37     0.00
NGC2903                 6.6    14.40   190.00   3.00    35.33   161.19     0.00
NGC2903                 6.6    15.36   188.00   5.00    35.01   155.25     0.00
NGC2903                 6.6    16.32   187.00   5.00    34.43   150.20     0.00
NGC2903                 6.6    17.28   188.00   3.00    33.18   145.58     0.00
NGC2903                 6.6    18.24   186.00   3.00    32.48   141.36     0.00
NGC2903                 6.6    19.20   185.00   3.00    31.94   137.48     0.00
NGC2903                 6.6    20.16   185.00   3.00    31.23   133.91     0.00
NGC2903                 6.6    21.12   181.00   3.00    30.85   130.60     0.00
NGC2903                 6.6    22.08   178.00   3.00    30.69   127.55     0.00
NGC2903                 6.6    23.04   177.00   3.00    30.33   124.70     0.00
NGC2903                 6.6    24.00   182.00   4.00    30.72   122.05     0.00
NGC2903                 6.6    24.96   180.00   8.00    30.86   119.57     0.00
NGC2915                 4.1     0.34    13.50  10.10     4.08    44.78     0.00
NGC2915                 4.1     0.67    31.30  12.50     7.65    48.88     0.00
NGC2915                 4.1     1.00    35.30  13.40    10.36    46.82     0.00
NGC2915                 4.1     1.34    50.50   9.38    11.92    43.88     0.00
NGC2915                 4.1     1.68    61.00  10.10    12.33    40.74     0.00
NGC2915                 4.1     2.01    66.50  11.90    12.44    38.01     0.00
NGC2915                 4.1     2.34    74.40  11.60    12.54    35.66     0.00
NGC2915                 4.1     2.67    83.00   9.17    12.44    33.66     0.00
NGC2915                 4.1     3.01    86.40   7.66    12.13    31.74     0.00
NGC2915                 4.1     3.35    83.60   8.18    12.02    29.95     0.00
NGC2915                 4.1     3.68    79.80   7.93    12.54    28.46     0.00
NGC2915                 4.1     4.02    82.80   6.95    13.47    27.13     0.00
NGC2915                 4.1     4.35    83.50   7.19    14.61    25.93     0.00
NGC2915                 4.1     4.68    80.40   7.85    15.44    24.93     0.00
NGC2915                 4.1     5.02    80.30   7.57    15.86    24.00     0.00
NGC2915                 4.1     5.35    82.10   7.92    15.86    23.20     0.00
NGC2915                 4.1     5.69    82.40   8.33    15.65    22.42     0.00
NGC2915                 4.1     6.03    80.90   7.88    15.44    21.74     0.00
NGC2915                 4.1     6.36    79.00   6.15    15.65    21.15     0.00
NGC2915                 4.1     6.69    81.40   6.11    16.27    20.57     0.00
NGC2915                 4.1     7.02    79.70   5.59    17.10    20.07     0.00
NGC2915                 4.1     7.36    77.50   6.33    17.83    19.59     0.00
NGC2915                 4.1     7.70    79.90   6.41    17.93    19.12     0.00
NGC2915                 4.1     8.03    81.50   7.86    18.24    18.72     0.00
NGC2915                 4.1     8.37    82.20   7.82    18.65    18.33     0.00
NGC2915                 4.1     8.70    82.00   7.09    18.97    17.95     0.00
NGC2915                 4.1     9.03    84.70   5.74    19.38    17.62     0.00
NGC2915                 4.1     9.37    86.10   5.54    19.59    17.30     0.00
NGC2915                 4.1     9.70    85.30   5.23    19.90    16.98     0.00
NGC2915                 4.1    10.04    86.50   6.45    19.90    16.69     0.00
NGC2955                97.9     0.75   169.00   4.27     0.00    53.73     0.00
NGC2955                97.9     1.55   203.00   4.92     0.16    99.45     0.00
NGC2955                97.9     2.30   232.00   5.49     0.00   134.15     0.00
NGC2955                97.9     3.06   256.00   4.38     1.12   162.98     0.00
NGC2955                97.9     3.85   248.00   3.47    10.81   187.48     0.00
NGC2955                97.9     4.61   253.00   5.68    18.83   206.85     0.00
NGC2955                97.9     5.36   269.00   8.42    25.11   220.81     0.00
NGC2955                97.9     6.12   268.00   4.67    29.26   232.37     0.00
NGC2955                97.9     6.91   260.00   5.58    31.48   243.48     0.00
NGC2955                97.9     7.66   245.00   8.47    32.44   254.23     0.00
NGC2955                97.9     8.42   247.00   6.00    32.35   258.51     0.00
NGC2955                97.9     8.86   267.00  10.30    32.44   258.41     0.00
NGC2955                97.9     9.21   255.00   7.27    32.44   257.39     0.00
NGC2955                97.9    10.82   253.00  11.20    33.51   252.03     0.00
NGC2955                97.9    11.56   271.00  11.30    34.86   249.34     0.00
NGC2955                97.9    12.40   276.00   8.71    37.47   246.01     0.00
NGC2955                97.9    14.17   275.00  10.10    44.03   245.22     0.00
NGC2955                97.9    16.88   275.00  10.00    57.16   236.05     0.00
NGC2955                97.9    19.49   276.00  11.70    67.40   232.49     0.00
NGC2955                97.9    22.19   267.00  15.70    77.25   219.85     0.00
NGC2955                97.9    24.80   257.00  15.10    79.95   209.20     0.00
NGC2955                97.9    27.51   254.00  13.60    78.21   199.59     0.00
NGC2955                97.9    30.12   248.00  11.60    75.51   191.82     0.00
NGC2955                97.9    35.43   227.00  11.20    77.83   176.46     0.00
NGC2976                 3.6     0.11     6.80   3.62     1.06    11.98     0.00
NGC2976                 3.6     0.17     9.50   4.31     1.76    15.44     0.00
NGC2976                 3.6     0.24    14.00   3.11     2.47    19.52     0.00
NGC2976                 3.6     0.31    19.80   5.50     2.93    23.11     0.00
NGC2976                 3.6     0.38    26.10   3.90     3.29    26.27     0.00
NGC2976                 3.6     0.45    28.70   3.50     3.99    29.18     0.00
NGC2976                 3.6     0.52    28.70   2.70     4.46    32.19     0.00
NGC2976                 3.6     0.59    31.70   2.50     4.93    35.22     0.00
NGC2976                 3.6     0.66    35.50   2.30     5.88    38.01     0.00
NGC2976                 3.6     0.73    39.40   2.10     6.93    40.66     0.00
NGC2976                 3.6     0.80    42.90   2.30     7.52    43.36     0.00
NGC2976                 3.6     0.87    46.00   2.60     8.45    45.92     0.00
NGC2976                 3.6     0.94    49.10   3.10     9.28    48.76     0.00
NGC2976                 3.6     1.01    49.20   3.20    10.11    52.24     0.00
NGC2976                 3.6     1.08    51.40   3.20    11.31    55.81     0.00
NGC2976                 3.6     1.14    57.20   3.10    13.04    58.54     0.00
NGC2976                 3.6     1.21    63.80   2.90    15.48    61.95     0.00
NGC2976                 3.6     1.29    67.80   2.80    17.62    66.07     0.00
NGC2976                 3.6     1.35    69.80   3.30    19.66    68.88     0.00
NGC2976                 3.6     1.42    71.70   3.90    21.70    71.85     0.00
NGC2976                 3.6     1.49    74.10   4.40    23.73    74.58     0.00
NGC2976                 3.6     1.56    76.70   4.80    25.98    76.94     0.00
NGC2976                 3.6     1.63    79.90   4.40    27.71    78.73     0.00
NGC2976                 3.6     1.74    83.60   3.35    30.15    80.17     0.00
NGC2976                 3.6     1.93    83.90   3.95    29.44    78.52     0.00
NGC2976                 3.6     2.10    88.70   4.44    29.75    75.56     0.00
NGC2976                 3.6     2.27    85.30   5.36    29.85    73.66     0.00
NGC2998                68.1     0.33    90.00  20.00     0.00    44.56     0.00
NGC2998                68.1     0.99   125.00  15.00     0.66    93.23     0.00
NGC2998                68.1     1.98   148.00  15.00     2.66   132.13     0.00
NGC2998                68.1     2.64   180.00  17.00     4.03   154.64     0.00
NGC2998                68.1     3.63   201.00  15.00     6.22   196.69     0.00
NGC2998                68.1     7.59   206.00  10.00    16.84   221.58     0.00
NGC2998                68.1    12.50   214.00   5.00    32.06   213.19     0.00
NGC2998                68.1    17.48   212.00   5.00    44.76   198.92     0.00
NGC2998                68.1    22.46   213.00   2.00    52.43   175.78     0.00
NGC2998                68.1    27.44   214.00   2.00    58.37   162.69     0.00
NGC2998                68.1    32.32   213.00   2.00    63.92   151.18     0.00
NGC2998                68.1    37.30   213.00   3.00    66.04   139.68     0.00
NGC2998                68.1    42.28   203.00   3.00    64.42   130.09     0.00
NGC3109                 1.3     0.26     6.10   1.60     1.00     2.78     0.00
NGC3109                 1.3     0.52    11.20   1.00     2.12     4.73     0.00
NGC3109                 1.3     0.77    14.90   1.50     4.53     7.00     0.00
NGC3109                 1.3     1.03    19.10   2.20     6.54     8.59     0.00
NGC3109                 1.3     1.29    24.30   1.00     8.22    10.63     0.00
NGC3109                 1.3     1.55    29.80   1.90    10.06    11.72     0.00
NGC3109                 1.3     1.81    34.30   1.60    11.73    12.56     0.00
NGC3109                 1.3     2.06    38.20   3.50    12.92    13.39     0.00
NGC3109                 1.3     2.32    42.50   5.60    13.76    13.69     0.00
NGC3109                 1.3     2.58    42.30   3.00    14.44    13.73     0.00
NGC3109                 1.3     2.84    47.30   4.40    15.04    13.74     0.00
NGC3109                 1.3     3.10    49.30   4.00    15.37    14.32     0.00
NGC3109                 1.3     3.35    50.60   3.50    15.75    15.08     0.00
NGC3109                 1.3     3.61    53.00   3.50    16.29    15.34     0.00
NGC3109                 1.3     3.87    54.70   3.30    16.37    14.77     0.00
NGC3109                 1.3     4.13    55.20   3.10    16.42    14.16     0.00
NGC3109                 1.3     4.38    57.50   2.60    16.88    13.87     0.00
NGC3109                 1.3     4.64    59.10   2.40    17.22    13.96     0.00
NGC3109                 1.3     4.90    61.20   1.90    17.66    14.01     0.00
NGC3109                 1.3     5.16    62.70   1.90    18.09    14.01     0.00
NGC3109                 1.3     5.42    64.40   2.90    18.73    13.96     0.00
NGC3109                 1.3     5.67    66.60   3.20    19.30    13.99     0.00
NGC3109                 1.3     5.93    66.30   3.40    19.36    13.93     0.00
NGC3109                 1.3     6.19    66.20   3.20    19.43    13.15     0.00
NGC3109                 1.3     6.45    67.30   3.00    19.41    12.62     0.00
NGC3198                13.8     0.32    24.40  35.90     0.00    63.28     0.00
NGC3198                13.8     0.64    43.30  16.30     0.00    73.66     0.00
NGC3198                13.8     0.96    45.50  16.10     0.00    78.98     0.00
NGC3198                13.8     1.28    58.50  15.40     0.35    82.70     0.00
NGC3198                13.8     1.61    68.80   7.61     0.15    84.22     0.00
NGC3198                13.8     1.93    76.90  10.30    -0.05    83.17     0.00
NGC3198                13.8     2.24    82.00   8.09    -0.47    87.04     0.00
NGC3198                13.8     2.57    86.90   7.60    -0.95    88.91     0.00
NGC3198                13.8     2.89    97.60   3.03    -1.43    88.98     0.00
NGC3198                13.8     3.21   100.00   5.31    -1.14    93.81     0.00
NGC3198                13.8     3.54   107.00   7.51    -0.39   101.22     0.00
NGC3198                13.8     3.85   113.00   7.32     0.36   108.53     0.00
NGC3198                13.8     4.17   117.00   5.21     1.52   115.51     0.00
NGC3198                13.8     4.50   119.00   5.67     3.07   120.51     0.00
NGC3198                13.8     4.82   127.00   5.39     4.63   125.42     0.00
NGC3198                13.8     5.15   132.00   4.34     6.02   129.40     0.00
NGC3198                13.8     5.46   134.00   2.36     7.16   133.15     0.00
NGC3198                13.8     5.78   137.00   1.00     8.31   136.45     0.00
NGC3198                13.8     6.10   140.00   2.84     9.46   139.41     0.00
NGC3198                13.8     6.43   142.00   1.00    10.61   141.85     0.00
NGC3198                13.8     6.74   144.00   1.23    11.77   142.32     0.00
NGC3198                13.8     7.06   146.00   1.57    12.87   140.94     0.00
NGC3198                13.8     8.04   147.00   3.00    16.39   135.68     0.00
NGC3198                13.8     9.04   148.00   3.00    20.03   130.79     0.00
NGC3198                13.8    10.04   152.00   2.00    23.68   128.10     0.00
NGC3198                13.8    11.04   155.00   2.00    27.08   126.67     0.00
NGC3198                13.8    12.05   156.00   2.00    30.11   124.98     0.00
NGC3198                13.8    14.05   157.00   2.00    34.48   118.12     0.00
NGC3198                13.8    16.07   153.00   2.00    36.43   108.22     0.00
NGC3198                13.8    18.13   153.00   2.00    37.76   101.10     0.00
NGC3198                13.8    20.05   154.00   2.00    39.83    96.40     0.00
NGC3198                13.8    22.12   153.00   2.00    40.92    91.56     0.00
NGC3198                13.8    24.03   150.00   2.00    41.77    87.03     0.00
NGC3198                13.8    26.10   149.00   2.00    43.71    82.67     0.00
NGC3198                13.8    28.16   148.00   2.00    45.41    79.06     0.00
NGC3198                13.8    30.08   146.00   2.00    45.29    76.07     0.00
NGC3198                13.8    32.14   147.00   2.00    44.56    73.27     0.00
NGC3198                13.8    34.06   148.00   2.00    44.81    70.91     0.00
NGC3198                13.8    36.12   148.00   2.00    45.90    68.62     0.00
NGC3198                13.8    38.19   149.00   2.00    46.75    66.59     0.00
NGC3198                13.8    40.10   150.00   2.00    47.48    64.84     0.00
NGC3198                13.8    42.17   150.00   3.00    48.93    63.10     0.00
NGC3198                13.8    44.08   149.00   3.00    47.84    61.63     0.00
NGC3521                 7.7     0.51   143.00  33.10    -3.74   195.66     0.00
NGC3521                 7.7     0.69   160.00  15.00    -4.96   213.36     0.00
NGC3521                 7.7     0.86   178.00   7.92    -6.20   228.63     0.00
NGC3521                 7.7     1.03   188.00   8.01    -7.39   242.31     0.00
NGC3521                 7.7     1.20   187.00   8.03    -8.46   244.99     0.00
NGC3521                 7.7     1.38   195.00   5.60    -9.15   248.08     0.00
NGC3521                 7.7     1.55   199.00   7.52    -9.58   251.75     0.00
NGC3521                 7.7     1.71   203.00   6.87    -9.77   258.35     0.00
NGC3521                 7.7     1.89   206.00   9.22    -9.95   262.92     0.00
NGC3521                 7.7     2.06   211.00  12.00    -9.95   270.25     0.00
NGC3521                 7.7     2.23   219.00  13.30    -9.95   275.10     0.00
NGC3521                 7.7     2.41   216.00   9.90   -10.14   276.83     0.00
NGC3521                 7.7     2.58   214.00  10.50   -10.60   274.55     0.00
NGC3521                 7.7     2.75   213.00   8.39   -11.16   274.06     0.00
NGC3521                 7.7     2.92   210.00  13.30   -11.53   273.74     0.00
NGC3521                 7.7     3.09   214.00   6.67   -11.25   275.23     0.00
NGC3521                 7.7     3.26   213.00   9.98    -9.77   276.33     0.00
NGC3521                 7.7     3.43   212.00  11.20    -7.06   278.46     0.00
NGC3521                 7.7     3.61   215.00   9.11     2.40   278.97     0.00
NGC3521                 7.7     3.78   217.00  10.10     7.87   280.87     0.00
NGC3521                 7.7     3.95   219.00   8.05    10.51   281.76     0.00
NGC3521                 7.7     4.12   220.00   8.29    12.28   282.78     0.00
NGC3521                 7.7     4.29   218.00   8.42    13.95   281.57     0.00
NGC3521                 7.7     4.46   220.00   9.71    15.63   279.92     0.00
NGC3521                 7.7     4.64   220.00  20.10    17.49   276.26     0.00
NGC3521                 7.7     4.81   216.00  23.50    19.07   272.38     0.00
NGC3521                 7.7     4.98   220.00  14.60    20.00   268.13     0.00
NGC3521                 7.7     5.15   218.00  12.20    20.46   264.51     0.00
NGC3521                 7.7     5.32   213.00  23.10    20.65   260.81     0.00
NGC3521                 7.7     5.49   215.00  21.20    20.74   257.41     0.00
NGC3521                 7.7     5.67   216.00  18.30    21.02   254.02     0.00
NGC3521                 7.7     5.84   208.00  31.70    21.30   251.09     0.00
NGC3521                 7.7     6.01   212.00  25.30    21.67   248.27     0.00
NGC3521                 7.7     6.19   213.00  23.80    22.04   245.66     0.00
NGC3521                 7.7     6.35   216.00  19.60    22.51   243.33     0.00
NGC3521                 7.7     6.64   210.00  25.00    23.63   238.82     0.00
NGC3521                 7.7     8.82   210.00  10.70    34.97   209.65     0.00
NGC3521                 7.7    11.07   210.00  10.70    43.44   188.05     0.00
NGC3521                 7.7    13.32   206.00   6.25    45.95   172.02     0.00
NGC3521                 7.7    15.49   206.00   6.25    45.39   159.31     0.00
NGC3521                 7.7    17.74   206.00  10.70    42.23   147.38     0.00
NGC3726                18.0     3.50   102.00   7.00     0.00   138.23     0.00
NGC3726                18.0     5.24   125.00   6.10     0.00   163.99     0.00
NGC3726                18.0     6.98   145.00   4.90     8.76   177.95     0.00
NGC3726                18.0     8.72   164.00   3.90    23.82   182.72     0.00
NGC3726                18.0    10.47   162.00   4.80    31.14   173.68     0.00
NGC3726                18.0    12.19   160.00   4.80    37.29   166.41     0.00
NGC3726                18.0    13.94   156.00   4.80    46.45   159.41     0.00
NGC3726                18.0    16.03   146.00   4.85    53.13   148.01     0.00
NGC3726                18.0    22.30   158.00   4.90    48.17   124.21     0.00
NGC3726                18.0    27.52   168.00  10.60    42.67   109.50     0.00
NGC3726                18.0    30.08   169.00  10.60    40.52   103.96     0.00
NGC3726                18.0    32.52   167.00  15.20    39.01    99.53     0.00
NGC3741                 3.2     0.23    13.10   2.19     2.45    11.60     0.00
NGC3741                 3.2     0.47    17.30   2.39     4.75    13.88     0.00
NGC3741                 3.2     0.70    23.60   2.21     6.71    13.02     0.00
NGC3741                 3.2     0.93    26.20   2.21     7.80    11.93     0.00
NGC3741                 3.2     1.17    27.40   2.24     8.39    10.78     0.00
NGC3741                 3.2     1.40    26.90   2.23     8.84     9.72     0.00
NGC3741                 3.2     1.64    27.40   2.21     9.23     8.89     0.00
